game_id,play_id,season,week,prior_wp,url,posteam,home_team,away_team,desc,play_type,go_boost,go,should_go,yardline_100,ydstogo,qtr,mins,seconds
2020_04_ARI_CAR,698,2020,4,0.38607335090637207,https://rbsdm.com/stats/fourth_calculator/?_inputs_&posteam_to=%223%22&posteam=%22ARI%22&home_ko=%220%22&mins=6&update=0&defteam_to=%223%22&qtr=%221%22&season=%222020%22&away=%22ARI%22&yardline=68&secs=8&score_diff=-7&home=%22CAR%22&ydstogo=3&runoff=0,ARI,CAR,ARI,"(6:08) 4-A.Lee punts 48 yards to CAR 20, Center-46-A.Brewer, fair catch by 14-P.Cooper.",PUNT,3.2888159908500754,0,1,68,3,1,6,8
2020_04_ARI_CAR,1096,2020,4,0.23024514317512512,https://rbsdm.com/stats/fourth_calculator/?_inputs_&posteam_to=%223%22&posteam=%22ARI%22&home_ko=%220%22&mins=14&update=0&defteam_to=%223%22&qtr=%222%22&season=%222020%22&away=%22ARI%22&yardline=60&secs=32&score_diff=-14&home=%22CAR%22&ydstogo=9&runoff=0,ARI,CAR,ARI,"(14:32) 4-A.Lee punts 53 yards to CAR 7, Center-46-A.Brewer. 14-P.Cooper to CAR 13 for 6 yards (45-D.Gardeck; 28-C.Washington).",PUNT,-0.43690801714913263,0,0,60,9,2,14,32
2020_04_ARI_CAR,2111,2020,4,0.1963132917881012,https://rbsdm.com/stats/fourth_calculator/?_inputs_&posteam_to=%221%22&posteam=%22ARI%22&home_ko=%220%22&mins=0&update=0&defteam_to=%223%22&qtr=%222%22&season=%222020%22&away=%22ARI%22&yardline=41&secs=42&score_diff=-14&home=%22CAR%22&ydstogo=12&runoff=0,ARI,CAR,ARI,"(:42) 4-A.Lee punts 35 yards to CAR 6, Center-46-A.Brewer, fair catch by 14-P.Cooper.",PUNT,0.5918433957070519,0,1,41,12,2,0,42
2020_04_ARI_CAR,3549,2020,4,0.013508673757314682,https://rbsdm.com/stats/fourth_calculator/?_inputs_&posteam_to=%223%22&posteam=%22ARI%22&home_ko=%220%22&mins=7&update=0&defteam_to=%222%22&qtr=%224%22&season=%222020%22&away=%22ARI%22&yardline=79&secs=6&score_diff=-17&home=%22CAR%22&ydstogo=14&runoff=0,ARI,CAR,ARI,"(7:06) 4-A.Lee punts 42 yards to CAR 37, Center-46-A.Brewer. 14-P.Cooper pushed ob at CAR 37 for no gain (51-T.Vallejo).",PUNT,0.30182241255505526,0,1,79,14,4,7,6
2020_05_ARI_NYJ,212,2020,5,0.7077944278717041,https://rbsdm.com/stats/fourth_calculator/?_inputs_&posteam_to=%223%22&posteam=%22ARI%22&home_ko=%221%22&mins=12&update=0&defteam_to=%223%22&qtr=%221%22&season=%222020%22&away=%22ARI%22&yardline=78&secs=22&score_diff=0&home=%22NYJ%22&ydstogo=5&runoff=0,ARI,NYJ,ARI,"(12:22) 4-A.Lee punts 51 yards to NYJ 27, Center-46-A.Brewer, downed by ARI-16-T.Sherfield.",PUNT,-1.2677238816976342,0,0,78,5,1,12,22
2020_05_ARI_NYJ,869,2020,5,0.8750270009040833,https://rbsdm.com/stats/fourth_calculator/?_inputs_&posteam_to=%223%22&posteam=%22ARI%22&home_ko=%221%22&mins=2&update=0&defteam_to=%223%22&qtr=%221%22&season=%222020%22&away=%22ARI%22&yardline=44&secs=2&score_diff=7&home=%22NYJ%22&ydstogo=14&runoff=0,ARI,NYJ,ARI,"(2:02) 4-A.Lee punts 36 yards to NYJ 8, Center-46-A.Brewer, fair catch by 10-B.Berrios.",PUNT,-0.4729852526602656,0,0,44,14,1,2,2
2020_05_ARI_NYJ,2546,2020,5,0.9679089188575745,https://rbsdm.com/stats/fourth_calculator/?_inputs_&posteam_to=%223%22&posteam=%22ARI%22&home_ko=%221%22&mins=12&update=0&defteam_to=%223%22&qtr=%223%22&season=%222020%22&away=%22ARI%22&yardline=55&secs=4&score_diff=14&home=%22NYJ%22&ydstogo=11&runoff=0,ARI,NYJ,ARI,"(12:04) 4-A.Lee punts 33 yards to NYJ 22, Center-46-A.Brewer, fair catch by 10-B.Berrios.",PUNT,-0.2462261883765109,0,0,55,11,3,12,4
2020_05_ARI_NYJ,2812,2020,5,0.9643067717552185,https://rbsdm.com/stats/fourth_calculator/?_inputs_&posteam_to=%223%22&posteam=%22ARI%22&home_ko=%221%22&mins=8&update=0&defteam_to=%223%22&qtr=%223%22&season=%222020%22&away=%22ARI%22&yardline=64&secs=14&score_diff=14&home=%22NYJ%22&ydstogo=6&runoff=0,ARI,NYJ,ARI,"(8:14) 4-A.Lee punts 47 yards to NYJ 17, Center-46-A.Brewer. 10-B.Berrios to NYJ 26 for 9 yards (51-T.Vallejo; 47-E.Turner).",PUNT,-0.15245704039476493,0,0,64,6,3,8,14
2020_05_ARI_NYJ,3117,2020,5,0.8587157726287842,https://rbsdm.com/stats/fourth_calculator/?_inputs_&posteam_to=%223%22&posteam=%22ARI%22&home_ko=%221%22&mins=3&update=0&defteam_to=%223%22&qtr=%223%22&season=%222020%22&away=%22ARI%22&yardline=61&secs=49&score_diff=7&home=%22NYJ%22&ydstogo=1&runoff=0,ARI,NYJ,ARI,(3:49) 1-K.Murray pass short right to 81-D.Daniels to NYJ 30 for 31 yards (46-N.Hewitt).,PASS,1.509936693713101,1,1,61,1,3,3,49
2020_06_ARI_DAL,126,2020,6,0.40755152702331543,https://rbsdm.com/stats/fourth_calculator/?_inputs_&posteam_to=%223%22&posteam=%22ARI%22&home_ko=%220%22&mins=14&update=0&defteam_to=%223%22&qtr=%221%22&season=%222020%22&away=%22ARI%22&yardline=71&secs=13&score_diff=0&home=%22DAL%22&ydstogo=6&runoff=0,ARI,DAL,ARI,"(14:13) (Punt formation) PENALTY on ARI-85-D.Arnold, False Start, 5 yards, enforced at ARI 29 - No Play.",PENALTY,-0.010871080779125464,0,0,71,6,1,14,13
