game_id,prior_wp,posteam,home_team,away_team,desc,play_type,go_boost,go,should_go,yardline_100,ydstogo,qtr,mins,seconds,week
2015_04_MIN_DEN,0.7315552234649658,DEN,DEN,MIN,"(1:54) 8-B.McManus 39 yard field goal is GOOD, Center-46-A.Brewer, Holder-4-B.Colquitt.",FIELD_GOAL,-8.329772849928972,0,0,21,6,4,1,54,4
2015_14_IND_JAX,0.5902267098426819,IND,JAX,IND,"(5:31) 1-P.McAfee punts 50 yards to JAX 37, Center-45-M.Overton, out of bounds.",PUNT,-8.220485288483694,0,0,87,19,2,5,31,14
2015_14_BUF_PHI,0.6803216338157654,PHI,PHI,BUF,"(3:30) 6-C.Sturgis 30 yard field goal is GOOD, Center-46-J.Dorenbos, Holder-8-D.Jones.",FIELD_GOAL,-8.217379633910497,0,0,12,4,4,3,30,14
2015_05_CLE_BAL,0.3290588855743408,CLE,BAL,CLE,"(9:00) (Punt formation) 8-A.Lee punts 51 yards to BAL 40, Center-47-C.Hughlett. 10-J.Ross to CLE 43 for 17 yards (58-C.Kirksey).",PUNT,-8.215683448811305,0,0,91,21,4,9,0,5
2015_04_DAL_NO,0.5022574663162231,DAL,NO,DAL,"(8:25) 5-D.Bailey 38 yard field goal is GOOD, Center-91-L.Ladouceur, Holder-6-C.Jones.",FIELD_GOAL,-8.20193265894143,0,0,20,20,3,8,25,4
2015_10_MIA_PHI,0.7251257300376892,PHI,PHI,MIA,"(4:59) 8-D.Jones punts 45 yards to PHI 48, Center-46-J.Dorenbos. 14-J.Landry ran ob at PHI 48 for no gain. PENALTY on MIA-14-J.Landry, Taunting, 15 yards, enforced at PHI 48.",PUNT,-8.132956908427268,0,0,97,27,2,4,59,10
2015_20_NE_DEN,0.7554610967636108,DEN,DEN,NE,"(10:06) 8-B.McManus 31 yard field goal is GOOD, Center-46-A.Brewer, Holder-4-B.Colquitt.",FIELD_GOAL,-8.084559646276105,0,0,13,13,4,10,6,20
2015_12_NE_DEN,0.8056997060775757,NE,DEN,NE,"(11:07) 6-R.Allen punts 52 yards to DEN 38, Center-49-J.Cardona. 31-O.Bolden MUFFS catch, and recovers at DEN 45. 31-O.Bolden to DEN 45 for no gain (49-J.Cardona).",PUNT,-8.032617073400488,0,0,90,20,4,11,7,12
2015_09_JAX_NYJ,0.7074214816093445,NYJ,NYJ,JAX,"(6:21) 4-R.Quigley punts 52 yards to JAX 37, Center-46-T.Purdum. 41-N.Marshall to NYJ 43 for 20 yards (54-J.Lattimore).",PUNT,-7.971474037014431,0,0,89,26,3,6,21,9
2015_15_HOU_IND,0.6986411809921265,IND,IND,HOU,"(7:21) 1-P.McAfee punts 46 yards to IND 47, Center-45-M.Overton. 12-K.Mumphery to IND 32 for 15 yards (27-W.Guy).",PUNT,-7.912788971125238,0,0,99,15,3,7,21,15
2015_05_IND_HOU,0.8125666379928589,IND,HOU,IND,"(3:38) 1-P.McAfee punts 47 yards to HOU 25, Center-45-M.Overton. 12-K.Mumphery to HOU 36 for 11 yards (55-N.Irving).",PUNT,-7.8823618778124,0,0,72,13,4,3,38,5
2015_13_SF_CHI,0.4834238886833191,CHI,CHI,SF,"(9:45) (Punt formation) 16-P.O'Donnell punts 47 yards to SF 20, Center-48-P.Scales. 10-B.Ellington to SF 21 for 1 yard (31-C.Prosinski).",PUNT,-7.818164105679529,0,0,67,18,4,9,45,13
2015_05_CLE_BAL,0.7235864400863647,BAL,BAL,CLE,"(14:18) (Punt formation) 4-S.Koch punts 51 yards to CLE 24, Center-46-M.Cox. 11-T.Benjamin to CLE 21 for -3 yards (54-Z.Orr).",PUNT,-7.745405252555415,0,0,75,26,4,14,18,5
2015_04_CLE_SD,0.47972503304481506,CLE,LAC,CLE,"(5:58) 6-T.Coons 33 yard field goal is GOOD, Center-47-C.Hughlett, Holder-8-A.Lee.",FIELD_GOAL,-7.729835213682762,0,0,15,10,3,5,58,4
2015_14_MIN_ARI,0.29583272337913513,MIN,ARI,MIN,"(:07) 3-B.Walsh 44 yard field goal is GOOD, Center-47-K.McDermott, Holder-18-J.Locke. Penalty on ARI-28-J.Bethel, Defensive Offside, declined.",FIELD_GOAL,-7.655532716130821,0,0,26,21,2,0,7,14
2015_12_BAL_CLE,0.7256414294242859,BAL,CLE,BAL,"(9:09) (Field Goal formation) 9-J.Tucker 35 yard field goal is GOOD, Center-46-M.Cox, Holder-4-S.Koch.",FIELD_GOAL,-7.625380823846115,0,0,17,10,4,9,9,12
2015_03_PIT_STL,0.7250763177871704,PIT,LA,PIT,"(13:48) 4-J.Berry punts 51 yards to STL 22, Center-60-G.Warren. 11-T.Austin to STL 34 for 12 yards (29-S.Thomas). PENALTY on STL-20-L.Joyner, Offensive Holding, 10 yards, enforced at STL 22.",PUNT,-7.465092632697399,0,0,73,21,4,13,48,3
2015_12_CHI_GB,0.6713070869445801,CHI,GB,CHI,"(4:18) 16-P.O'Donnell punts 43 yards to GB 10, Center-43-T.Gafford, downed by CHI-11-J.Bellamy.",PUNT,-7.431111365758575,0,0,53,19,4,4,18,12
2015_02_SD_CIN,0.9651606678962708,CIN,CIN,LAC,"(1:19) 10-K.Huber punts 58 yards to end zone, Center-46-C.Harris, Touchback.",PUNT,-7.382003116530612,0,0,58,12,4,1,19,2
2015_07_DAL_NYG,0.7703895568847656,NYG,NYG,DAL,"(3:23) 3-J.Brown 34 yard field goal is GOOD, Center-51-Z.DeOssie, Holder-9-B.Wing.",FIELD_GOAL,-7.357589803779732,0,0,16,15,3,3,23,7
2015_12_BUF_KC,0.8635077476501465,KC,KC,BUF,"(3:34) 5-C.Santos 37 yard field goal is GOOD, Center-41-J.Winchester, Holder-2-D.Colquitt.",FIELD_GOAL,-7.327832330929354,0,0,19,17,4,3,34,12
2015_13_DAL_WAS,0.4841019809246063,WAS,WAS,DAL,"(:02) 3-D.Hopkins 45 yard field goal is GOOD, Center-57-N.Sundberg, Holder-5-T.Way.",FIELD_GOAL,-7.321156168357319,0,0,26,4,2,0,2,13
2015_09_JAX_NYJ,0.9663618206977844,NYJ,NYJ,JAX,"(1:05) 4-R.Quigley punts 43 yards to JAX 8, Center-46-T.Purdum, downed by NYJ-54-J.Lattimore.",PUNT,-7.3082634129957285,0,0,51,11,4,1,5,9
2015_09_PHI_DAL,0.6517737507820129,PHI,DAL,PHI,"(1:51) (Field Goal formation) 6-C.Sturgis 53 yard field goal is GOOD, Center-46-J.Dorenbos, Holder-8-D.Jones.",FIELD_GOAL,-7.27021621644937,0,0,35,8,4,1,51,9
2015_14_DET_STL,0.625187873840332,LA,LA,DET,"(12:08) 6-J.Hekker punts 49 yards to DET 28, Center-44-J.McQuaide. 15-G.Tate to DET 35 for 7 yards (24-E.Patterson).",PUNT,-7.244216069292953,0,0,77,16,3,12,8,14
2015_19_GB_ARI,0.44203585386276245,ARI,ARI,GB,"(5:09) 7-C.Catanzaro 28 yard field goal is GOOD, Center-82-M.Leach, Holder-2-D.Butler.",FIELD_GOAL,-7.237940294718818,0,0,10,10,3,5,9,19
2015_14_IND_JAX,0.5942175984382629,IND,JAX,IND,"(9:33) 1-P.McAfee punts 47 yards to JAX 21, Center-45-M.Overton, out of bounds.",PUNT,-7.234934750202207,0,0,68,21,2,9,33,14
2015_13_SF_CHI,0.5230705738067627,CHI,CHI,SF,"(12:58) (Punt formation) 16-P.O'Donnell punts 45 yards to SF 10, Center-48-P.Scales, fair catch by 10-B.Ellington.",PUNT,-7.229081109723133,0,0,55,19,4,12,58,13
2015_05_PIT_SD,0.6428459286689758,LAC,LAC,PIT,"(9:00) 5-M.Scifres punts 48 yards to PIT 40, Center-47-M.Windt. 84-A.Brown to PIT 42 for 2 yards (53-K.Conner).",PUNT,-7.223365276182101,0,0,88,12,3,9,0,5
2015_09_STL_MIN,0.7031345963478088,MIN,MIN,LA,"(7:54) (Punt formation) 18-J.Locke punts 61 yards to end zone, Center-47-K.McDermott, Touchback.",PUNT,-7.214170019395745,0,0,61,7,4,7,54,9
2015_04_JAX_IND,0.4991838037967682,JAX,IND,JAX,"(:09) 2-J.Myers 32 yard field goal is GOOD, Center-46-C.Tinker, Holder-19-B.Anger.",FIELD_GOAL,-7.171402999847103,0,0,15,9,2,0,9,4
2015_06_DEN_CLE,0.3627707362174988,DEN,CLE,DEN,"(1:13) (Punt formation) 4-B.Colquitt punts 37 yards to CLE 40, Center-46-A.Brewer, fair catch by 11-T.Benjamin.",PUNT,-7.164866799742743,0,0,77,10,4,1,13,6
2015_09_STL_MIN,0.5780109167098999,LA,MIN,LA,"(:03) (Field Goal formation) 4-G.Zuerlein 45 yard field goal is GOOD, Center-44-J.McQuaide, Holder-6-J.Hekker.",FIELD_GOAL,-7.140774177956928,0,0,27,7,2,0,3,9
2015_04_MIN_DEN,0.7138218879699707,DEN,DEN,MIN,"(14:17) 4-B.Colquitt punts 50 yards to MIN 48, Center-46-A.Brewer, out of bounds.",PUNT,-7.097447948203623,0,0,98,19,2,14,17,4
2015_17_WAS_DAL,0.8372894525527954,WAS,DAL,WAS,"(3:01) (Field Goal formation) 3-D.Hopkins 33 yard field goal is GOOD, Center-57-N.Sundberg, Holder-5-T.Way.",FIELD_GOAL,-7.065646874355323,0,0,15,7,3,3,1,17
2015_10_ARI_SEA,0.6988974213600159,ARI,SEA,ARI,"(3:34) 2-D.Butler punts 46 yards to SEA 43, Center-82-M.Leach. 16-T.Lockett pushed ob at ARI 43 for 14 yards (10-B.Golden). PENALTY on SEA-33-K.McCray, Offensive Holding, 10 yards, enforced at SEA 43. PENALTY on ARI, Unsportsmanlike Conduct, 10 yards, enforced between downs.",PUNT,-7.059221964116702,0,0,89,18,3,3,34,10
2015_11_DEN_CHI,0.9791188836097717,DEN,CHI,DEN,"(2:00) (Punt formation) 4-B.Colquitt punts 42 yards to CHI 31, Center-46-A.Brewer. 80-M.Mariani to CHI 35 for 4 yards (30-D.Bruton).",PUNT,-7.032382320438856,0,0,73,16,4,2,0,11
